alabama,50744
alaska,571951
arizona,113635
arkansas,52068
california,155959
colorado,103718
connecticut,4845
delaware,1954
districtofcolumbia,68
florida,53927
georgia,57906
hawaii,6423
idaho,82747
illinois,55584
indiana,35867
iowa,55869
kansas,81815
kentucky,39728
louisiana,43562
maine,30862
maryland,9774
massachusetts,7840
michigan,56804
minnesota,79610
mississippi,46907
missouri,68886
montana,145552
nebraska,76872
nevada,109826
newhampshire,8968
newjersey,7417
newmexico,121356
newyork,47214
northcarolina,48711
northdakota,68976
ohio,40948
oklahoma,68667
oregon,95997
pennsylvania,44817
rhodeisland,1045
southcarolina,30109
southdakota,75885
tennessee,41217
texas,261797
utah,82144
vermont,9250
virginia,39594
washington,66544
westvirginia,24078
wisconsin,54310
wyoming,97100
