alabama,4.04
alaska,5.06
arizona,4.89
arkansas,3.91
california,5.4
colorado,5.53
connecticut,6.17
delaware,5.22
districtofcolumbia,5.11
florida,4.82
georgia,4.62
hawaii,5.53
idaho,4.5
illinois,5.31
indiana,4.56
iowa,5.03
kansas,4.96
kentucky,4.02
louisiana,4.12
maine,4.93
maryland,5.94
massachusetts,6.18
michigan,4.76
minnesota,6.1
mississippi,3.81
missouri,5.19
montana,4.54
nebraska,4.58
nevada,4.63
newhampshire,5.73
newjersey,6.12
newmexico,4.52
newyork,5.66
northcarolina,5.17
northdakota,4.9
ohio,4.71
oklahoma,4.14
oregon,5.42
pennsylvania,5.72
rhodeisland,5.38
southcarolina,4.35
southdakota,4.79
tennessee,4.22
texas,4.65
utah,5.03
vermont,5.31
virginia,4.87
washington,5.4
westvirginia,3.95
wisconsin,4.59
wyoming,4.83
